Source,Destination,WeightFunction,ProbabilityModel,Amount,Success,PathLength,TotalFee,TotalHopCost,Path,Retries,PathPe
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,LND,uniform,1158062.092064,false,0,0.000000,0.000000,,0,0.315857
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,Combined,bimodal,64143.007188,true,5,25.090000,172.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b -> 033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025 -> 0388445479e35791dfd383c2697dfc6928894b90e700aa6ad3c995cb0c08d87853 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.447261
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,Eclair,bimodal,64143.007188,true,4,23.090000,144.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2 -> 02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.453306
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,CLN,N/A (capacity bias),64143.007188,true,4,21.090000,132.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b -> 034b7b1b6f9d6c98c5db180a65987f407d46da3bbc706d5e7e326b1167310cd542 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.262145
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,LDK,bimodal,64143.007188,true,4,23.090000,144.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2 -> 02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.453306
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,LND,bimodal,64143.007188,true,4,24.090000,144.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2 -> 03c8eaed66353ca6678ab1b32b5f59d149dda22f951ae61beacb0afd02af12b6be -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.461603
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,Combined,uniform,64143.007188,true,5,25.090000,172.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b -> 033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025 -> 0388445479e35791dfd383c2697dfc6928894b90e700aa6ad3c995cb0c08d87853 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.652782
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,Eclair,uniform,64143.007188,true,4,21.090000,132.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b -> 034b7b1b6f9d6c98c5db180a65987f407d46da3bbc706d5e7e326b1167310cd542 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.558325
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,CLN,N/A (capacity bias),64143.007188,true,4,21.090000,132.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b -> 034b7b1b6f9d6c98c5db180a65987f407d46da3bbc706d5e7e326b1167310cd542 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.558325
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,LDK,uniform,64143.007188,true,5,20.480000,178.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2 -> 03c34514abee10703fe749a7f2b1ed2862141d3be6dd37d95249337ba46e35119f -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.630750
034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce,02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,LND,uniform,64143.007188,true,4,23.090000,144.000000,034acec3a8014777556515f7cc9aa36de01a6b546ecdf1d9d8cafd669da26469ce -> 026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2 -> 02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa -> 0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f -> 02b6b8e6b683811f358e9602f8271694951b92dd66ff0841501f2ce9ddcf7bc2fc,1,0.652401
03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561,0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,Combined,bimodal,6677.672021,true,3,1.000000,328.000000,03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561 -> 029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7 -> 03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35 -> 0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,1,0.432902
03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561,0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,Eclair,bimodal,6677.672021,true,3,1.000000,328.000000,03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561 -> 029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7 -> 03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35 -> 0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,1,0.432902
03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561,0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,CLN,N/A (capacity bias),6677.672021,true,3,1.000000,328.000000,03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561 -> 029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7 -> 03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35 -> 0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,1,0.432902
03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561,0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,LDK,bimodal,6677.672021,true,3,1.000000,328.000000,03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561 -> 029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7 -> 03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35 -> 0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,1,0.432902
03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561,0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,LND,bimodal,6677.672021,true,3,1.000000,328.000000,03404667a1ff221a057e861888398190169246cff86c4afff52bc85bd129b82561 -> 029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7 -> 03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35 -> 0326ae4daae9a52720789021a51abe5d8a2c35ad9b662619b52500a1b7f738032e,1,0.432902
